COHORTE;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
1998-1;11658;18053;22182;27603;30297;32915;34714;36343;37652;39253;40481;41551;42366;43237;43994;44573;45086;45990;46392;46753;47051;47357;47680;48221;48503;48756;49058;49350;49649;49948;50223;50476;50762;51052;51005;48386;;
1998-2;9421;13101;16154;17964;19643;21008;21953;22802;23770;25024;26013;26826;27596;28121;28567;29036;29425;29744;30036;30298;30567;30840;31115;31334;31536;31739;31928;32124;32325;32543;32748;32933;33173;33041;30013;;;
1999-1;9893;14291;17164;20121;22028;23452;24662;25902;27090;28752;29891;31191;31937;32599;33250;33847;34278;34704;35044;35381;35724;36051;36360;36622;36898;37145;37464;37771;38009;38272;38493;38773;38661;36574;;;;
1999-2;8064;10997;13343;15295;16581;17690;18729;19631;20670;21802;22855;23576;24180;24730;25226;25628;25978;26217;26520;26779;27072;27333;27579;27831;28086;28305;28570;28801;29008;29242;29489;29409;26517;;;;;
2000-1;9765;13913;16773;19056;20847;22716;24090;25396;26643;28611;29861;30925;31764;32576;33194;33749;34205;34663;35111;35516;35917;36287;36603;36941;37323;37681;38017;38368;38720;39116;38916;35546;;;;;;
2000-2;8246;11881;14147;15976;17719;19051;20223;21141;22179;23205;24125;25042;25810;26491;26993;27490;27904;28283;28674;29027;29351;29727;30073;30412;30749;31045;31373;31655;31951;31852;27631;;;;;;;
2001-1;12502;17120;20102;22519;24579;26646;28308;30198;31425;32996;34292;35651;36629;37530;38253;38885;39486;40048;40616;41119;41613;42091;42561;43055;43490;43934;44348;44799;44761;39355;;;;;;;;
2001-2;8990;12354;14725;16481;18126;19554;20903;21869;22717;23926;24988;25961;26774;27359;27951;28468;28944;29386;29781;30147;30516;30930;31306;31645;31999;32349;32727;32698;29323;;;;;;;;;
2002-1;12742;18083;21348;24141;26206;29241;30852;32050;33370;35239;36735;38014;39025;39878;40754;41514;42198;42830;43450;44002;44551;45109;45657;46238;46755;47259;47363;41181;;;;;;;;;;
2002-2;10189;13929;16743;18811;21208;22916;24241;25343;26424;27945;29293;30170;30936;31738;32435;33044;33578;34106;34598;35091;35610;36036;36550;37022;37515;37650;32322;;;;;;;;;;;
2003-1;12195;17087;20245;23182;25422;27310;28941;30501;31787;33812;35148;36335;37428;38473;39279;40079;40792;41459;42078;42785;43387;44012;44610;45273;45535;40658;;;;;;;;;;;;
2003-2;11247;15177;18419;21035;22794;24618;26133;27383;28563;30085;31217;32234;33223;34065;34841;35544;36232;36833;37498;38117;38987;39673;40295;40708;34625;;;;;;;;;;;;;
2004-1;13373;19134;22747;25272;27377;29863;31492;33008;34459;36256;37727;39133;40279;41343;42241;43102;43792;44658;45453;46265;47067;47973;48411;42081;;;;;;;;;;;;;;
2004-2;11985;16155;18934;20877;22902;24574;26015;27347;28462;29932;31286;32293;33220;34107;34906;35649;36415;37103;37826;38519;39279;39774;34041;;;;;;;;;;;;;;;
2005-1;13244;18149;21248;23908;25945;28287;30104;31733;33114;35281;36817;38300;39450;40607;41576;42615;43544;44544;45442;46460;47049;42226;;;;;;;;;;;;;;;;
2005-2;11750;15898;19031;21216;23278;25262;26750;28185;29547;31152;32405;33642;34746;35735;36720;37685;38599;39465;40422;40940;35817;;;;;;;;;;;;;;;;;
2006-1;13700;19625;23326;26433;29079;31577;33736;35719;37404;39618;41509;43155;44653;46121;47437;48831;50165;51606;52524;46923;;;;;;;;;;;;;;;;;;
2006-2;13840;18521;21789;24245;26559;29015;30796;32322;33813;36012;37568;39057;40455;41678;42960;44135;45456;46409;40089;;;;;;;;;;;;;;;;;;;
2007-1;18148;25608;30379;34054;37486;40847;43807;45877;47967;51055;53392;55616;57503;59482;61272;63207;64765;57364;;;;;;;;;;;;;;;;;;;;
2007-2;15317;21097;24948;28062;31000;33424;35422;37293;39126;41434;43474;45277;47093;48723;50488;51878;44711;;;;;;;;;;;;;;;;;;;;;
2008-1;21852;29975;35380;40380;44923;48184;50824;53348;55717;59386;62141;64926;66666;69353;71590;61646;;;;;;;;;;;;;;;;;;;;;;
2008-2;16646;23163;27862;31844;34654;37358;39555;41618;43817;46539;48968;51093;53454;55223;47309;;;;;;;;;;;;;;;;;;;;;;;
2009-1;21558;30301;35959;40392;44077;48202;51264;54259;57071;61433;64861;68526;71584;62499;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;16192;22463;26805;30413;33575;36724;39340;41556;43881;46902;50176;52792;47544;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;22337;30442;36190;41369;45598;49727;53107;56293;56705;62341;66968;61734;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;16105;22318;27547;31201;34409;37580;40436;42831;45728;50110;47403;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;24676;34702;40974;46189;51067;56010;57377;61562;65660;65519;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;18209;25057;30112;33980;37681;41205;44876;48001;45365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;24704;35205;42195;48605;53843;59948;64754;60743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;19472;26848;32589;37018;41551;45797;43178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;25986;36641;44183;51942;57829;55735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;26094;32602;39663;45378;42996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;28902;40535;48242;48681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;22085;31916;33736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;33392;42143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;26358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
