;#Rows;#Columns;Size;File
0;77626;57;4424682;2000_1
1;354862;58;20581996;2000_2
2;77961;57;4443777;2001_1
3;320895;57;18291015;2001_2
4;63371;57;3612147;2002_1
5;370306;57;21107442;2002_2
6;69735;57;3974895;2003_1
7;354700;57;20217900;2003_2
8;64779;58;3757182;2004_1
9;366549;40;14661960;2004_2
10;72842;83;6045886;2005_1
11;383964;82;31485048;2005_2
12;61335;85;5213475;2006_1
13;408326;85;34707710;2006_2
14;69301;84;5821284;2007_1
15;444713;84;37355892;2007_2
16;68941;83;5722103;2008_1
17;437532;91;39815412;2008_2
18;69743;97;6765071;2009_1
19;518220;121;62704620;2009_2
20;30321;79;2395359;2010_1
21;586779;114;66892806;2010_2
22;86674;114;9880836;2011_1
23;564171;114;64315494;2011_2
24;95946;114;10937844;2012_1
25;575646;114;65623644;2012_2
26;86470;113;9771110;2013_1
27;573662;113;64823806;2013_2
28;88685;102;9045870;2014_1
29;574395;136;78117720;2014_2
30;106540;128;13637120;2015_1
31;573128;86;49289008;2015_2
32;74129;64;4744256;2016_1
33;74127;83;6152541;2016_1_v3
34;605982;81;49084542;2016_2
35;12993;80;1039440;2017_1
