;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2000_1;;4.336457530723395;;;4.669400540164968;4.772905478327795;4.651688226404288;4.424781124646178;4.2911667179629;;4.822390044100805;4.571538834562344;4.470096699990259;;4.047739059039195
2000_2;;3.9836012536622243;;;4.7177310073970355;4.477400773610766;4.464039718689835;4.328779662856701;4.312848700383066;;4.772433977180714;4.46722802912337;3.9261487500053365;;3.834794416020574
2001_1;;3.9871456545624406;;;5.157328634940633;4.489362325604234;5.798397372157285;4.278914755616137;4.518804216452135;;4.103123257932234;4.188865238703396;3.847176170744304;;3.8637447769368913
2001_2;;3.815530778746367;;;4.3286625028614605;4.598134963034065;4.511837878630967;4.643813200928345;4.427172305462629;;4.332102927128236;4.2740320075260625;4.062084984503977;;3.7813562577390463
2002_1;;3.7174801155568615;;;4.876791752219076;4.53457879374645;4.150091102057795;3.9800590482225133;4.4580240085164204;;4.657395650556267;4.249150590064614;4.048754133479216;;3.5431719559847026
2002_2;;4.383474165138155;;;4.5191131303909495;4.475298672921323;4.5910958198542255;3.885238016269305;4.063706644977985;;4.489817587002838;4.797200076247015;4.582340436125217;;3.898693928470854
2003_1;;4.200784609808719;;;4.323652519688855;4.421393253179199;4.810883087005482;4.054429225750674;4.355667436549572;;4.1597630301802635;4.307067409739994;4.088344010878375;;3.718716531336802
2003_2;;4.285054375385134;;;4.350023037551251;4.809191039213863;4.931349765361631;4.090164081936256;4.196769198586506;;6.529872008319328;5.446386240832358;3.93816326517429;;4.1669468073512546
2004_1;;4.211282751104244;;;6.326706310568537;4.554999191764813;4.419623584604492;3.7758426592741783;4.137689056404871;;6.628729003456934;6.049145543939257;5.348416173502074;;4.035126020449489
2004_2;;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;;-1.0
2005_1;-1.0;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
2005_2;-1.0;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
2006_1;-1.0;-1.0;;-1.0;-1.0;-1.0;;;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
2006_2;-1.0;-1.0;;-1.0;-1.0;-1.0;;;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
2007_1;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2007_2;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2008_1;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2008_2;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2009_1;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2009_2;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2010_1;-1.0;-1.0;;-1.0;-1.0;-1.0;;;;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
2010_2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2011_1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2011_2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2012_1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2012_2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2013_1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2013_2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
2014_1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;;;;-1.0;;-1.0;-1.0;;-1.0
